,Posts,Label
584,ንፍጥ የሆነ የውሸት ፖርፖጋንዳ አይሳካላችሁም እንጂ መሳይ ሰማይ ተቀዶ ሲሰፋ ነበር ብላችሁ የምታወሩ ገልቱዎች አላችሁ መጥኔ ለወረኞች,Offensive
585,በጣም ኢብአድሊፍ ወያነ ተሳስትዋል ድሮ ጎንደር ክፍልሀገር ጎጃም ክፍሊ ሀገር ዎሎ ክፍል ህገር እየተባለ ይጠራ ነበር አምህራ የሚባል አልነበረም ቢሮስር መስፍን ወልደማርይም እንደ ሉት አምህራ የምባል ብህይር የለም ኢፕአር ድኢፍ ወያነ የአማራ ክልል ብሎ የሰየመው ለምንድርኖ አማራ ከጥንቱ የለም ተብልዋ በምህራኑ,Offensive
586,አየ መሳይ አንተ ብትለፈልፍ በተመቸ አገር ቁጭ ብለህ ጨጎራህን ለሞሙላት እንጂ ሀገራዊ ወኔ ተላብስህ አይደለም ባንተ ቤት  ሚሊዮን ለሚሊዮን የኢትዮፅያ ህዝብ ያውም የሚሞተው የድሀ ልጅ እንደ አማራጭ የስራ ዘርፍ ተወስዶ ወጣቶችን ለማጥፋት የተፈረከ ዘዴ ነው ግን ጥቂት እናንተ በተመቻቸ ቦታ ሆናችሁ ልጆቻችሁ ተንደላቀው እየኖሩ ሳይገባቸው የሚዘምሩ ይኖራሉ የሚበዛው የኢትዮፅያ ህዝብ ግን አካኪ ዘርፍ ማለት መሽለል ውግያ ውስጥ ገብቶ ባሩድ እየሸተተህ መዋጋት እንደሚለያዩ ጠንቅቆ ያውቃል ስለዚህ መሳይ ዲስኩርህን ብትቀንስ ይሻላል የኢትዮፅያ ህዝብ እየታዘበህ ነው ነገ ሬሳህም ቢሆን ወደ አገሩ መመለሱ አይቀሬ ነው,Offensive
587,የእነ ብርጋዴር ጀኔራል ተፈራ ማሞ እና ኮሎኔል አለበል ጉዳይ ለጥቅምት  ቀን ተቀጠረ,Free
588,ያለምንም ክስ ያለምንም ወንጀል በገዳይ ቡድን ፍርሀትና  የታሰሩት የፀጥታ አመራሮች በህዝባዊ ሀይል መፈታታቸው አይቀርም,Free
589,ይህ ህዝባዊ ሀይል ግን ሲነሳ ይዞት የሚነሳው ሀምሌ ን በራሳችን ሜዳ ይሆናልይህ እንዳይሆን በተደጋጋሚ ጩኸናል አስጠንቅቀናልጆሮው ተልቆ ክፉውንም በጎውንም የማይሰማው ደንቆሮው ብአዴን ግን አመራሮቹን ገድሎ ቀሪዎችንም አስሮ ስለ ውክልና ጦርነት ሲለፈልፍ ይውላልእርጉም ድርጅት,Offensive
590,ብአደን ገደለ ትላላህ አንድኛው ገዳይ አንተ አይደለህ,Offensive
591,እናንተ እያላችሁላት ብአዴን ምንም አትሆንም,Free
592,ምንም ማሽኮርመም አያስፈልግምከዚህ የከፋ ጊዜ አይመጣምህዝባዊ እንቢተኝነት አሁኑኑ መነሳት አለበ,Offensive
593,ያስገደለንም የገደለንም ተላላኪው ብአዴን ነው,Offensive
594,ብአዴን የሚችለው ቃላትን አሽሞንሙኖ መግለጫ ማውጣት ብቻና ብቻ ነው,Offensive
595,በሴረኞች የተገደለውን ጀኔራል አሳምነውን ገዳይ እያልክ የምትከስ ባንዳ አስመሳይ,Offensive
596,ባንዳው እንኳን ደስ አለህ እኛ እንጠነክራለን እንጂ አንሸሽም ይብላኝ ለሆድአደር ባንዳዎች ቱቱቱቲቲ,Offensive
597,ይሄ በድን ድርጅት እኮ ሳያጠፋን የሚጠፋ አይመስልም,Offensive
598,አህያ ነው መቸም በአዴን,Offensive
599,ብአዴን የሚባል ካንሰር ነው ጠላታችን ምስኪኖች ያለ ሀጢያታቸው መንገላታቸው ያሳዝነኛል,Offensive
600,ምነው ደቃል ካት በላይ ደቃል,Offensive
601,ሆዳም ,Offensive
602,እደትያለ ድንቁርና ነዉ አይበአድ ከንሰሩ ምን ይሻለዋል,Offensive
603,አያለው መንበር ተስፍህ ይማርግ አማራ በጣም ነው ይምገርምኝ አያለው ባንዳ ነው,Offensive
604,ከብት,Offensive
605,ይህ ሁሉ የእናንተ ሴራ እንደሆነ እናቃለን እንኳን ደስ አለህ የእኛው ባንዳ,Offensive
606,ለአዴፓ ሁሉም የአማራ ህዝብ የመጨረሻ የማስጠንቀቂያ በመስጠት አለበት ደስ የሚለው ወጣቱ በአሁኑ ሰአት ሰለፍ እያደረገ ነው,Free
607,ተው በአንተ አያምርም ዝም በል    የተባለው ላንተም ሳይሰራ አይቀርም,Free
608,ደደብ,Offensive
609,ብአዴን ከንሰሩ ምን ይሻለዋል,Free
610,አንብብልኛ,Free
611,አያሌዉ አርፈህ ተቀመጥ አንት ጅላጅል በአንተ አያምርም ሰዉ አንዴ ነዉ ሚሸወደዉ ለእኛ እነ ጌታቸዉ ሽፈራዉ ይበቁናል,Free
612,የአያሌው ችግሩ እውነትን እውነት ማለቱ ነውነው እንደ አንተ እውነት ሸፍኖ ማለፍ ነበረበት,Free
613,አንተ ቀድመህ ተናግረሀል ወንጀለኛ አትበሉን ደብቁን እያሉ ነዉ ሲወጡ ሚስጢሩን ያወጣሉ ተብለዉ ነዉ የሚታሹት,Free
614,ብአዴን የአማራው መወረርና መጨፍጨፍ ቢያሳስበው ኖሮ ይፈታቸው ነበር  ብአዴን ክልሉ እንዳይረጋጋ አስተዋፅኦ አለው,Free
615,ታላቁ አማራ ሆይ ይሄንን ብአዴን የሚባል ካንሰር አብዝተህ ተፀየፈው ብአዴን ቆሻሻ ነው,Offensive
616,አሳምነው የሰኔ ቱን ድርጊት ፈፅሞት ከሆነ የምቀየመው ሁሉንም ጠራርጎ ባለማስወገዱ ነው,Free
617,እንኳን ደስ አለህ,Free
618,አንተ የምታሞጋግሰው ብአዴን የስራ ውጤት ነው,Free
619,በመርህ አልባው በኦሮማራ ጋብቻ ማን ባል ማን ሚስት እንደነበር በግለፅ ተረጋገጠ,Free
620,ወይዘሪት ብአዴንአዴፓበደንብ ተደክላለች አሁን ያላት አማራጭ ወገቧን ይዛ ስድቧን አሽሙሯን መደርደር ብቻ ነው,Offensive
621,አንተም ብአዴንም በደመነፍስ ነው የምትኖሩት አቋም የላችሁምአሳምነዉንም የታሰሩትንም ስትወነነጅል ከርመህ አሁን ደግሞ ታስመስላለህ እያሰብክ ኑር,Offensive
622,እና አሳምነው ወንጀለኛ አይደለም ልትል ነው ወይስ ፌስቡክ ላይ እንዴ የአምባቸውን አስከሬን እንደጎተተው ቪዲወዉ እንዲለቀቅልህ ፈልገህ ነው,Offensive
623,ሳያዩ የሚያምኑ ብፁአን ናቸዉ የምትለዉን ህግ ተከትለክ መሆን አለበት እንደዚህ እርግጠኛ የሆንከዉ,Free
624,አትሸንግለን,Free
625,እንኳን ከብአዴን ወጣህ በርታ ወንድሜ,Free
626,ህዝባዊ አመፅ መጀመር አለበት,Offensive
627,ለምን አንተን ለምስክርነት አልጠሩህም,Free
628,ተስፋይ ይርጋ የሸርሙጣ ልጅ ነው ሸርሙጣ ብሎ የሚሳደበው,Offensive
629,ችግሩ ያለው ሙትቻው ብአዴን ላይ አይደለም ጉዳዩ በአማራ ብሄርተኛ ውስጥ እንደ ጀዋር አንድ ተፅኖ ፈጣሪ መጥፋቱ ነው ሁሉም ሙትቻው በአዴንን ተለማማጭ ሆነና እርሱም ናቀውየሚያሳዝነው ህዝባችን በማያዋጣው ብሄርተኝነት መከራውን እንዲያይ የተፈረደበት መሆኑ ነው,Offensive
630,እኔ እምልህ ቆይ አንተ ግን መቸ ነው አንደ ሰው የምታስበውተልኮ የሰጠህ ማነዉ,Offensive
631,የአማራ ተጋድሎ ይቀጥላል,Offensive
632,ዋና ጠላታችን አንተኮ ነህ የአማራን ህዝብ ያለ ጠባቂ ያስቀረኸን,Offensive
633,አንድ አይን ብቻ እያለን አንድ አይናችንን ያጠፋህ,Offensive
634,ገደል ግባ,Offensive
635,እርጉም ድርጅት ,Offensive
636,የብአዴን ትግል ከአማራ ህዝብ ጋር መሆኑ ጠፍቶህ ነው,Offensive
637,አይ አያሌው ስለ ሞተው አምባቸው ፍትህ ማጣት ሳይጨንቅህ በህይወት ኖሮ ስለታሰረ ሰው ታላዝንብን የገደለም ያስገደለም የመከረም ሲሆን መገደል ያ እንኳን ቢቀር መታሰር አለበት,Offensive
638,በገዳይ ፍርሀት ይሄ ጉዳይ ለሰንጢ ሽልምጥማጥ ይገባዋል ብዬ አላምንም አንተ የወነጀልከው አሳምነውን ሆኖ ሳለ በገዳይ ፍርሀት ማለት ምን ማለት ነው ያንን ህዝብ በደመ ነፍስ ገፋፍተህ ሌላ ደምአፋሳሽ ግጭት ብታመጣ ወየውልህ እንደጋማ ከብት ለሚጋለብልህ መንጋ ግድ የለኝም ነገር ግን ወደ እርስበርስ ግጭት ህዝቡን ከገፋፋኸው ማእበሉ ለሁላችንም ይተርፈናል ለምን ገዳይ ያልከውን አካል ካወከው በ,Offensive
639,አሁን ያልከው ሀሳብ ተቀባይነት ያለው ነው ግን አንተም ብአዴንን ካላዘልሁ እያልህ ባላየህው ባልሰማህው ጉዳይ ስትዘላብድ እንደነበር እንዳትረሳ እኛ ግን አሁንም እንላለን ለአማራ ህዝብ ጠላቱ ብአዴን ነው ,Offensive
640,አዴፖ ልብ የሌለው ወገኑን ለጠላት መጠቀሚያ አንዲሆን አሳልፎ የሰጠ ጅርጅት ነው,Offensive
641,እርጉም ድርጅት,Offensive
642,ዝንተአለም አምሀራ ከአብን ጋር ወደፊት,Offensive
643,የባህርዳር ወጣቶች ወደድኳችሁ,Offensive
644,ምከረው ምከረው እንቢ ሲል መከራ ይምከረው እንዲሉ እንግዲህ ከፊቱ አፍጦ መከራ ያወላዳ መስሎት የሚርመጠመጥ ድርጀት የራሱን መውጪያ እያጠበበ ህዝብ ይዞ መጥፋት አይችልም ህዝቡም ለእነሱ ብሎ ሳይሆን ለራሱ ሲል አንድ ሆኖ እንዴት ወደ ፊት እንደሚያወጣቸው መምከር ከቀጠሮ በፊት ግፊት ማድረግ አለበት በዚህ ወቅት ለወንበሩ ለስልጣኑ የሚያሴር ካለ እሱ ስርዬት የሌለው ነው,Offensive
645,ቡዳ ሁሉ ተንጫጫ የጎጃም ሴረኞች የጦር መኮነኖችን ካልፈቱ ግልፅ ጦርነት እንገባለን,Offensive
646,ወንድማችንን አስቻለው ደሴን የገደለውን አዴፓን ኮንነህ ፃፍ ከቻልክ,Offensive
647,በሀይል ማስፈታት የሚለዉ ነገር ልክ ነዉ,Offensive
648,አሳምነው ነው የገደለው ነው ስትል አልነበረም እንዴ አንዱ ምስክር አይደለህም እንዴ ትግሉ ሲጀመር አንተም እንደማይቀርልህ እወቅ,Offensive
649,አንተ ራሱ አንዱ እርጉም አደለህ እንዴ አሳምነው ገደለ አብይ አያደርገውም እያልክ የምታሽቃብጥ ተላላኪ ወረኛ አስራትን ለቀህ ውጣ አሁን አንተ ላስራት አትመጥንም,Offensive
650,ካዲ ይድፋህ,Offensive
651,አያሌው እና አስማሀኝ ወደቀልባችሁ መመለሳችሁ ደስ ይላል,Free
652,ከልብህ ከሆነ ከብአዴን መውጣትህ ጥሩ ነው ግን ህዝቡን ይቅርታ ጠይቅ,Offensive
653,አስቻለው ደሴ ዛሬ ከአማራ ክልል ልዩ ሀይል ጋ በመዋጋት ላይ እያለ መገደሉ አረጋግጫለው ዉጊያው በደቡብ ጎንደር ዞን እብናት ወረዳ ደጋ መልዛ በተባለ አካባቢ ነበር አስቻለው የደቡብ ጎንደር ፋኖ አደረጃጀት ዋና መሪ ነበር,Offensive
654,አስቻለው ማለት በቅፅል ስሙ ገብርዬ የሚባል ሆኖ በኢህአዴግ ዘመን አሸባሪ ተብሎ ታስሮ ነበር ለዉጡ ከመጣ በኋላ ልክ እንደ አሳምነው ፅጌ ከነመአት ወንጀላቸው በነፃ እንዲለቀቁ ካደረጋቸው የአእምሮ በሽተኞች አንዱ ነበር ተገቢው ህክምና ሳያደርግ ወደ ህዝቡ ተቀላቀለ የገዛ ህዝቡን ጨረሶ በመጨረሻ ላይ ለራሱ ተገደለ ያሳዝናል,Free
655,አሽ ድንጋይ ራሱ,Offensive
656,ሻለቃ አስቻለው ደሴ ተገደለ  አሰማኸኝ አስረስ  ነፍጠኛ ነን  የሚል ይዘት ያለው መልስ ለፕሽመልስ አብዲሳ በመለሰ ግዜ ጀዋር እንዲ ብሎ ፅፎለት ነበር ,Offensive
657, ወዳጄ ተሳስተሀል ነፍጠኝነትን እንደ በጎ ነገር ባትሰብኩ ይሻላችኋል ጦሱ ቅድሚያ ለናንተው ክልል ነው በነፈጠኝነት መንፈስ ሰክሮ ሲጋልብ የነበረው አስምነው ፅጌ ምን አይነት ቀውስ በናንተው ላይ እንዳደረሰ አትዘንጉ ነፍጠኝነትን በሌሎች ክልል  የማድረግ እድል ዜሮ ነው በንናንተ ክልል ያለውን ለጋ ብሄረተኘት ግን የነፍጠኝነት ተስፋን አጭሮ አላስፈላጊ   ፈጥሮ ያጫርሳችሀል ጀዋርን ስሙት ,Offensive
658,እጅህ የሌለበት ለማስመሰል አትሞክር በአሳምነው ግድያም በታሰሩትም እጅህ አለበት,Offensive
659,የተሻገር ልዮ ሀይል ጀግናዊ ጎንደሬውን ገደለው,Offensive
660,አንተ ነበርክ እነሱ ቦታ መግባት የነበረብህ,Offensive
661,እሁንም ገዳይ እስገዳይ ቡድን እያልህ እትለፍልፍ አንተ ስው እሁንም ክስተትህ መማር እለብህ በፊት እሳምንው ገዳይ ነው አልህ አሁን ደግሞ ሌላ,Offensive
662,ህዝባዊ ሀይሉንማ አንተን ጨምሮ አክቲቪስት ተብዬዎች እያዳከማችሁት ነው,Offensive
663,አሳምነውን ማስገደልህ አላንስ ብሎህ ጀግናው የፋኖ መሪው አስቻለው በብአዴን ባንተ ተላላኪነት መረጃ ሰጪነት አስገደልከው አንተ ጄኔራሎች የምትፅፈው ተጨንቀህ ሳይሆን ለምን ተረፉ ነው ጄኔራሎቹ ከእስር ከወጡ ሰልጠራጠር ልንገርህ አንተ ታስገድላቸዋለህአንድ ቀን የአማራ ህዝብ ይፋረድሀል ጠብቅ,Free
664,አንተም እኮ ብርጋዴርን አስገድለሀል,Offensive
665,እርጉምም እርጉም,Offensive
666,ቀልድ ይዘዋል የአማራ ዳኛ በአማራ ላይ,Offensive
667,አቶ አያሌው አንተና ሙሉቀን ተስፋው አባካችሁን አትጥፉብን ሌላው ሁሉ እዳው ገብስ ነው  ሳልወቅስ የማላልፈው ነገር ቢኖር የእነ በረከት የእነ ታደሰ እና የከበደ ጫኔ ጭፍሮች ስለተንጫጩ እውነት የአማራ ህዝብ ፈላጎት እንደሆነ ሁሉ ማንም ድምፁን ዝቅ አደርጎ በሚያነጥስበት በዚያን ጨለማ ጊዜ አማራ ነህ ሲባል እንደ ጴጥሮስ አይደለሁም እያለ ሲከራከር የነበረው አማራን ለጠላት,Free
668,ወይ ጣጣችን ፈጣሪ ሆይ ህዝብህን ርስትህን ልጆችህን ጠብቅ,Free
669,ለምን ስለ ፋኖው ተገዳይ ዝም አልክ ,Free
670,አዴፖ ብቻውን መቆም የማይችል ልፋስፍስ አቅመ ቢስ ድርጅት ነው,Offensive
671,ጅራፍበራስዋመታራስዋትጮሀለች ስባልአልሰማህም ከሰዉፊጥረትወዷዉሬፊጥረትየተቀየራቹ,Offensive
672,በረከት እንዴት አድርጎ ነው የገራቸው አም ብትሰጠው የማይለወጥ ዘገምተኛ በየ መድረኩ የሚበጠረቅ ሁሌ መከረኛ ህወሀት አነሱ እንደማይሰሩ ይህ ትልቅ ማሳያ ነው ህወሀት መጥቶ አልገደለውምየገደለለው የህወሀት አስፈፃሚ ብአዴን ነው,Offensive
673,ብሽቅ አሳምነው ነው ገዳይ እያልክ ስትበጠረቅ አልነበረም አሁን ደግሞ የገዳይ ብድን ትላለህ ትንሽ ህሊና የለህም እንዴ,Offensive
674,ዘመነ ካሴ እና ማስረሻ ሰጤ ጠቁመው ከነላቀ እና ከወርቁ ጋር በመመሳጠር አስገደሉት አስቻለው ደሴን አስገደሉት,Offensive
675,ስለ አስቻለው ደሴ እስኪ ተንፍስ,Free
676,በህግ ፊት ሁሉም ሰው እኩል ነውእነዚህ ሰወች ተጠርጣሪወች ናቸው በመሆኑም የፍርድ ሂደቱን ተከትሎ ነፃ ከሆኑም ይለቀቃሉ ካልሆኑም በጥፋታቸው ልክ ቅጣታቸውን ይቀበላሉ የፍርድ ሂደቱ እንዲፋጠን በሰላማዊ መንገድ መጠየቅ ይቻላል ይህ ሳይሆን ቀርቶ አንተ እንደለመድከውና እያደረግህ ባለኸው አማራውን በሚከፋፈል ሴራ ግን ተጠልፎ ወደ አልተገባ ግርግር የሚገባ ህዝብ ግን ይኖራል ብየ አልገምትም ለመሆኑ አንተ ማን ሆንክና ነው የፍርድ ሂደቱን ለመቀልበሰ የፍርድ አካላትን የምታሰፈራራው ይህ የጎጥ ፖለቲካ የአንተን አላማ ያልተረዱ የዋህ ሰወችን ያሳሰት እንደሆነ እንጅ አንተ ማን እና ለምን እንደዚህ አይነት የመከፋፈል ሰራ እንደምትሰራ ለሚያውቅ የአማራ ማህበረሰብ ግን ከንቱ ልፍለፋ ነው እንዲህ አይነት ከፋፋይ ድርጊት በፈፀምክ ቁጥር አንተ ለአማራው ተቆርቋሪ መሰለህ ግን የጭቃ ሾክ መሆንህን የማያውቁህ እንዲያውቁህ እያደረግህ እንደሆነ ልነግርህ እችላለሁ ያንተ ማሰፈራራትና ዛቻ ግን ጢውም ከምን ተቆጠረች እንደሚባለው ነው,Free
677,ምነው አልክ ተቆራጩ ቆመ እንዴ,Free
678,አለም ለምን ትደክማለህ ሸአሁን አንተ ለአማራ የተቆረቆርህ መሰለህ በአንተ ቤት አማራን መከፋፈልህ ነው ይችን ይችን ለደነቆሩ የአንተ ሰወች ንገራቸው የዲጅታል ወያኔ ሰወች ገና አንድ ነገር ማለት እንደጀመራችሁ ማንነታችሁን የሚገልፁ ብዙ ምልክቶች አላችሁና በከንቱ አትድከሙ  አማራም አይከፈልም አዴፓም የወቅቱ ብቸኛ ተሰፋ ሰለሆነ ሰህተት ቢኖርበትም እንኳን ለአማራ ከቆሙ ድርጅቶች ጋር በመመካ,Offensive
679,ሌባ ላመሉ ዳቦ ይልሳል አለ ያገሬ ሰው አንዱ የአማራ ጠላት አንተ አይድለህ አሳምነውን ያህል ጅግና ለጠላት አስበላህ ደሞ አሁን ሳታፍር ልሀጭህን ታዝረበርባለህ በአማራው ምድር ደሞ ማንን ለማስበላት ነው እንዲህ ምትዘባርቀው,Offensive
680,እንደምን ከርምክ ወንም አለም አያሌው መንበረ,Free
681,ምባህ አገባህ አያሌው መንበር የአሳምነው ገዳይ,Offensive
682,አያሌው ዶር አብይ የኖቤል ተሸላሚ መሆኑን አልሰማህም,Free
683,ወይ አያሌው ለማንኛውም ህዝቡን ይቅርታ ብጠይቅ ጥሩ ነው,Offensive
684,በ  እና በ  በውጭ በተለይም በአሜሪካ አማራውን ስብሰባ ስንጠራ ግንቦት ሰባት ህዝቡ የአማራ ስብሰባ እንዳይካፈል ከፍተኛ ዘመቻ ይከፍትብን ነበርከዚህ ሁሉ የማልረሳው የመጀመሪያውን የአማራ ስብሰባ በሲያትል ስናካሂድ   ይመስለኛል የስብሰባውን ወጭ የቻለው ህወሀት ነውየክብር እንግዳቸው ሳሞራ የኑስ ነውወዘተ እያሉ ቤተክርስትያን አካባቢ ጭምር ዘመቻ ከፍተውብን ነበርይህ አልሳካ ሲል ደግሞ እንደዚህ ዛሬ ደሴ እንደሆነው በጨዋ ደንብ ጥያቄ መጠየቅ ሲገባቸው አዳራሹን ያስረብሹብን ነበርዛሬ ያ አልፏል እኛም ህወሀትን መቀሌ ሸኝተን ግንቦት ሰባትም በመሪዎቹ ቅሽምና ራሱን አንኮታኩቶ እያለ በቅርብ ግን ሸሚዙን ብቻ ቀይሮ መጣ,Free
685,ከአማራ ህዝብ ጋር የተጣላ መጨረሻው እንደ ግንቦት ሰባት የአሁኑ ኢዜማ  ነውበነገራችን ላይ ደግሜ ደጋግሜ እንደምለው ዶር ብርሀኑ ከፖለቲካው ወጣ ብሎ ኢኮኖሚክስ ቢያስተምረን ወገን ይጠቅማልአንዷለም አራጌ ከቻለ ከልደቱ ድርጅት ቢገባ ካልሆነም በግሉ ቢታገል የተሻለ ነውየምታውቁት ካላችሁ እኔ ታናሽ ወንድሙ የምመክረው በዚህ በኢዜማ መንገድ ውጤታማ ስለማይሆን ከዛ ቢወጣ ነው,Offensive
686,ዶር ብርሀኑ እሳቤው ከመለስ አይሻልምዶር ብርሀኑን የሚያውቁትአብረውት የሰሯብረውት የጠጡ ብዙ ሰዎችን አውቃለውስለእርሱ የፖለቲካ እሳቤ የምሰማው ከእነርሱ ነውየኢትዮጵያ ፖለቲካ በዚህ ግለሰብ ቅኝት ፈውስ አያገኝምፖለቲካ ለገባው ከአዲሱ አወዛጋቢው ኢዜማ ይልቅ የወደቀው የእነ ልደቱ ኢዴፓ የመነሳት እድሉ ከ እስከ  ነው,Offensive
687,ኢዴፓ ቢነሳም ባይነሳም አንዷለም ከልደቱ ፓርቲ ከሚገባ ከፖለቲካ ቢወጣ ይሻለዋልመሬት ላይ ህዝቡ ገበሬው ሳይቀር ልደቱን በጣም ነው እሚጠላው,Offensive
688,ልደቱ ላይ የተሰራበት ፕሮፖጋንዳ ሰራው ከሚባለው ስህተት ጋር የሚገናኝ አይደለምዝቡ ይህንን እስከሚያውቅ ነው እንጅ መልሶ ያነግሰዋል,Free
689,በልደቱ ላይ የተሰራውን ሴራ ለመረዳት በርታ አይምሮህን አሰራው በዙርያህ ላለውም ሰው እውነቱን አስረዳ ስለ እውነት ቅና ,Free
690,ይሄን ያክል እንኳ አታንቆለጳጵሽው ቢረሳ ቢረሳ መአህድን ማፍረሱ ይረሳል ብለሽ ነውኧረ እንደውም በፕሮፌሰር አስራት እስርም ይጠረጠራል,Offensive
691,እስማማለሁ ,Free
692,አይ ወድሜ አተ ጭቃው ውስጥ ነህ ያኔ እኮ ልደቱ ከ  አመት እድሜ በታች ነው እደው መጥፎ ሰው ቢኮን እኳን በምን አቅሙ ነው ሰው እስከማሰር ሊደርስ የሚችለው ብለህ ማሰብ አቃተህ ወሬ ከሰማህማ ብዙ ተብሏል ድርጅት አፈረሰ ላልከው እውነት የማወቅ ፍላጎት ካለህ በጀ ቲቪ ቀርቦ ያደረገውን ቃለምልልስ ዩቱብ ላይ እየው ከዛም አመሳክር,Free
693,አይ አንተ ሰው በሰለጠነ መንገድ ምናምን ትላለህ ለመሆኑ ግ ወይም ኢዜማየኢትዮጵያ ዜጎች ማታለያ ለምን ኦሮሚያደቡብና ትግራይ በሰለጠነ መንገድ እንወያይ ብሎ አይሄድም ለአማራ ተቆርቋሪ ከሆንክ በምክንያት መልስልኝለነገሩ አንተ እኮ የአማራን ትግል ጎታች ስለመሆንህ እናውቃለን ምክንያቱም ከብአዴን ሰወች አንዱ ነህብአዴን ካልሆንክ ለግ አታለቀልቅም ነበርየሰለጠነ ምናምን እያልክ ወጣቱን አታደንዝዘው ሂድና አድዋ መቀሌአሩሲ እና ወለጋ በሰለጠነ መንገድ ግ ተቃወሙት ብለህ አስተምር,Free
694,ደሴ የአማራነት ውሀ ልክ ኩራት ብቻ ,Free
695,ይህ ነዉ የሚያስፈልገዉ እነሱ ባዘጋጁት አዳራሽ አማራነትን ሰብኮ መዉጣት,Free
696,ደሴዎች ጀግና,Free
697,የመይሳው ልጅ እሚለው እሚለው ፔጅ የወያኔ ልጅ ነው እሱን መሰል ብዙ ፌክ  አካውንች ተከፍተዋል እና አትሸወዱ እነዚህ ቆሻሾች መቸም አይጠሩም ,Free
698,አሰፋ ምትባል እኔን አጋሜ ቁልቋላም አጋሜ ነህ ልትል ነውአነግርሀለሁ እኔ ጥርት ያልኩ የአፄወቹ ልጅ ነፍጠኛ አማራ ነኝ,Free
699,እኮ ከሁለታችሁ ማንን እንመን  በምን ማረጋገጫ,Free
700,አንተን ማለቴም ባይሆን እንደዚ ነገሮች በምን መለየት ይቻላል,Free
701,ደረጀ መቸም ወያኔ ራሱን መጤ ቁልቋላም አበጣ ቆርጣሚ አይልም ስለዚህ አሁን አልገባህም,Offensive
702,እኔ ለአማራ የአማራን ጉዳይ በተመለከተ በብዙ ጊዜ እና ብዙ ነገር ላይ ሽንጤን ይዤ ተከራካሪ ነኝግን እንደዚህ ደግሞ ፅፋቹህ እየሰጣቹህ እንኳን በቅጡ ማንበብ የማይችል ሰው አሰገብቶ በሰለጠነ መንገድ ተቃወሙ ብሎ ዜና መስራት አሳፋሪ ነውሌላው በየማህበራዊ ገፆች ላይ የሚፃፉ አሉባልታዋች ይዛቹህ በለተራዋች ይሄን ሲያደርጉ ዝም ብላቹሀልስለዚህ የአማራ ጠላት ናቹህ ተገቢ አይደለም በአጭሩ ከሁሉ ጠብ አይገባም አንዳንዴ ስትራቴጂክ ወዳጅነት የሚባል ነገር አለ,Free
703,እናታለም ደሴ,Free
704,አላህይጠብቃችሁያገሪየልጇችበቃእኛማለትለችግርግዜየየሚጋፈጡውጀግኑችአሉንግንመፍትሂየየሚሰጥአመራርአጣን,Free
705,ደሴዎች በሰራችሁት ስራ ሁሉም አማራ ኮርቶንባችኋል እንበርታ,Free
706,ደሴ ፍቅር ጀግና ነች,Free
707,ኢዜማ ማንን እንደሚታገል የገባው አይመስለኝምአንደበቱ ተዘግቶ የቆየ ፓርቲ ዛሬ ምን ተገኘ ብሎ ህዝብን ለማድረቅ እንደተነሳ ግልፅ አይደለም,Offensive
708,ደሴ ቤተአማራዎች እግዚአብሄር ይጠብቃችሁ,Free
709,ታሪክ ሰርታችኀል,Free
710,አሁን ማን ምን እንደሆነ አውቀናልከአብን በስተቀቀር ሁሉም ተለጣፊ ነውማመን የለብንም,Offensive
711,እኔ እምለው ሌላ ክልል ለምን አትሄዱም እያላቹህ ምትጮሁት ለምንድን ነው ኢዜማ የተቖቖመው ኢትዬፕያዊነት ሊያስተመር ነው እንዴ እንደዛ ከሆነ አብንም አማራን ስለአማራነት ሊያስተምር ነው ማለት ነው,Offensive
712,የደሴ ወጣቶች አሸባሪው ግንቦት  ን ምንም ችግር እና ግርግር ሳይፈጠር በሀሳብ በመሞገት አከርካሪውን ብላችሁ በመሸኘታችሁ ምስጋና ይገባችሀል,Free
713,ከልደቱ ድርጅት ቢገባ ነው ያልከው ወድም ሰውየውን አታውቀውም እደ አዷለም እኮ ልደቱ እድወድቅ አምሮ የሚጥር ሰው ነው ከሀገር ጥቅም የልቅ የግል ኢጎ ላናውን የሚያዞረው ክፉ እኮ ነው ለው ደሞ ምክንያቱ እፍረት ነው  በወሰዱት የተሳሳተ አቋም ትግሉን አክሽፈው የራሳቸውን ጥፋት ጥቅልል አድርገው ለአንድ ሰው አሸክመው እድሞት እድገደል የፈረዱ ጭራቆች ጋር አብሮ የተባበረ ጨካኝ እኮ ነው ልደቱ ጥፋት እደሌለበት ልቡ ያውቃል ግን ያኔ ተሳስቸ ነበር ይቅርታ ከሚል የሱ ስህተት ታውቆ ክብሩ እዳይነካ ያለ ጥፋቱ በሀሰት ከሀድ እደተባለ ልደቱ ቢሞት ና ቢገላገል ይመርጣል በጣም ገገማ ሰው ነው,Free
714,ግን አንዷለምን እንዲህ አድርግ እንዲህ ሁን ብሎ መምከር ትንሽ አይከብድህም,Free
