"Posts","Label"
"ይህን ሁሉ ታሪክ የሞዘረዝረውን መሳሪያ አንስቶ ያንን ሁሉ ውለታ ከዋሉለት ወገኖቹ ጋር ለምን አንደሚዋጋ ጨርሶ ስለማይገባኝ","Offensive"
"ነውዙ ሀከገፀመ አሊም በፊት የነበረው ህይወቴ ይሻለኛልና ወደዛ","Free"
"ልርዘነለሰዞ ነውን ወይስ ሌላን","Free"
"የባልደራስ ልኡክ ከወለጋ ተፈናቅለው ደብረ ብርሀን የሚገኙ አማሮችን ጎብኝቷልየ","Free"
"ተፈናቃዮቹ አማሮች በመሆናቸው ብቻ በማንነት ተለይተው በአካባቢ የመንግስት የስራ ሀላፊዎች","Free"
"ትብብር በኦነግ ሸኔ መፈናቀላቸውን ተናግረዋልጋ የእለት ደራሽ ርዳታ አንደሚፈልጉም በስፍራው","Free"
"ታዝበናልጋ","Free"
"በሰሜኑ ግንባር የተገባው ቃል ተጠብቋልን","Free"
"በሰሜን ግንባር ጉብኝቱን ያጠናቀቀው","Free"
" የባልደራስ ልኡከን በኮምቦልቻ ቃል በገባው መሰረትን በተረኞች ዘህገ ወጥዘ የተባለውን አረንጓዴን ቢጫ ቀዩን ሰንደቅ አላማ ይዞ ዛሬ ከረፋዱ  አዲስ አበባ ገብቷልበ","Offensive"
"በቦሌ አየር ማረፊያ በሰንደቅ አላማው ዙሪያ ከፌድራል ፖሊሶች ጋር ውዝግብ ተነስቶም ነበርጋ","Free"
"ዝርዝር ዜናው ከአነማስረጃው ከሰአታት በኋላ ይጠብቁበ","Free"
"እድሜዋ ለኢትዮጵያውያን ነፃነት ትግል ወጣትነቷን መስዋአት አድርጋ የወጣች ብርቅ ልጅ ናትጋ ሁላችሁ አንደምታስታውሱት በህወሀት ጊዜ የደረሰባትን በደል","Free"
"የፖለቲካ ፍጆታ አድርጎ ለመጠቀም መንግስት አንድ ዶከመንተሪ ሰርቶ ነበርጋ ይህንን አስቴር ተቃውማ ነበርነኔ የተቃወመችበት ምክንያት ግልፅ ነበርጋ","Free"
"በሀገራችን ውስጥ የተሻለ ለውጥ ሳይመጣ የእኔን ጉዳት የፖለቲካ ፍጆታ አታደርጉት ነውነኔ በሴትነቷ ብዙ","Free"
"ለመናገር የሚከብዱ መከራዎችን በአፍላ እድሜዋ ያየችው አስቴር ዛሬም በሀስት አስመስከሩባትነኔ","Free"
"ስለዚህች አንስት ድምፃችሁን አንድታስሙ","Free"
"አጣርቺ አነግራችሀጧለሁጋ","Free"
"እኔ የማስታውሰው የስልጤ ሰፈር ሙስሊም ወገኖቻችን ቤታቸው በፈረስ ጊዜ እንዴት እነዚህን ምስኪን ዜጎች መርዳት እንደምንችል ስትጨነቅ ነውነኒ","Free"
"ባለፈው ጊዜ የስልጤ ሰፈር ሙስሊሞች ቤታቸው ሲፈርስ እስኬውና ስንትሽን ጨምሮ በቦታው ተገኝተን ርዳታ ያደረግንበት ቦታ ነውነኔ አስቴር ለዚህ ህዝብ ያለት አንጀት ልዩ ነውነኔ ዛሬ","Free"
"ይህቺን ንፁህ ሰው እንዲህ በሀሰት ሲመሰክሩባት እንደመስማት ያሚያሳዝን ነገር የለምነኔ አስቴር በህወሀት ጊዜ ብዙ መካራ ያየች ልጅ ናትነኔ ገና በለጋ መስዋእት አድርጋ የወጣች ብርቅ ልጅ ናትነኔ ","Free"
"ሁላችሁ እንደምታስታውሱት በህወሀት ጊዜ የደረሰባትን በደል ዶከመንተሪ ሰርቶ ነበርነሀ ይህንን አስቴር ተቃውማ ነበርነኔ የተቃወመችበት ምክንያት ግልፅ ነበርነኒ","Free"
"ከታሰረችበት እስር ቤት አካባቢየ በቀጠሮዋ ስአት ደግሞ ከፍርድ ቤት አካባቢ አይለይምቱሀ ዛሬም እንደ","Free"
"ልማዱ የፍርድ ቤቱን አጥር ተደግፎ ሲተከዝ ዋለጋ አመሻሽ ላይ ችሎቱ ሲበተን ፖሊሶቹን ለምኖ ባለቤቱን ስላም ይላልጋ ","Free"
"ለደቂቃ ቆማ ባለቤቷን አንድታናግር ተፈቀደላትጋ በዚህ ቅፅበት ምን ብለው አንደመስከሩባትበለጠ ይጠይቃታልቱኔ ","Free"
"ተወሰነ ግዜ ኢንተርኔት በመዝጋት ን መረጃ","Free"
"በ ኢትዮጵያ ውስጥ የኢንተርኔት አገልግሎት ለተወሰነ ግዜ ማቋረጥ ን","Free"
"አንደንድ ግ ለ ሰ ቦችን የባልደራስ ልኡክ ቡድን በፓርቲው ፕሬዚደንት አቶ እስክንድር ነጋ የተመራ ሲሆን የድርጅቱ ከፍተኛ በዚህ ቅፅበት ስቴር ያስተላለፈችው መልአክት የሚከተለውን ነውቱኔ","Free"
"በሰኔ ፄፀ ቀን ፄአገጀ አመተ ምህረት ኮልፌ ከፍለ ከተማ ውስጥ ስልጤ ሰፈር በሚባለው አካባቢ","Free"
"አመፅ በተነሳበት ጊዜ ነውጠኞችን ገጀራ አስታጥቀሽ በቦታው ሆነሽ አመፁን ስትመሪ ነበር የሚል ውቱኔ ማው ይሄው ነውድ","Free"
"አስቴርን አኔ ገለታው አውቃታለሁሀ ቢልችን ውስጥ የምትታወቀው በስፍሳፋነቷ ነውቱኔ የርህራሄ አናት","Free"
"የሰላም አናት ናት አስቴርጠዶሀ ለተገፋ ለተጎዳ ስስ ስሜት ያላት ደግየ ርህሩህ አህታችን ናትቱኔ ይህቺን","Free"
"የባልደራስ አመራሮች ለአማራ ህዝባዊ ሀይል ረፋኖሀ ምስጋና አቀረበ","Free"
"ባህር ዳር የሚገኘው የባልደራስ ለአውነተኛ ዴሞክራሲ ፓርቲ ረባልደራስን ልኡክ የአማራ ህዝባዊ","Free"
"ሀይል ርፋኖን ኢትዮጵያን ከጥፋት ለመታደግ እያደረገ ላለው ጀብዱ ምስጋና አቅርቧልየኔ የፓርቲው","Free"
"ፕሬዚደንት አቶ እስክንድር ነጋ እና የአደረጃጀት ጉዳዮች ሀላፊው አቶ ስንታየሁ ቸኮል በፋኖ","Free"
"አመሪዎች አርበኛ ዘመነ ካሁሪ እና መቶ አለቃ ካፕቴን ማስረሻ ሰጤ ፊት ዝቅ ብለው እጅ በመንሳት ነው","Free"
"ልባዊ ምስጋናቸውን የገለኡትየኔ","Free"
"ገባኝና ወደ ቦታው ስመጣ የአባትና ልጁን አስከሬን አገኘሁጋ በዚህ ወቅት እኔ መከላከያ ውስጥ ነበርኩጋ","Free"
"ጠላት በየት ቦታ እንደሚሄድ የተለያዩ ሰዎች መረጃ ይሰጡኝ ስለነበር ደጋግሜ ለመስማት በእለቱ ስልኬኘ","Free"
"ድምፅ እንዲቀርፅ ከድርጌው ነበርጆሀ ለዚያ ነው","Free"
"ድምኡን ማስቀረት የቻልኩትጋ እሸቴ ሞገስ የአሰፋ ታየ ዘመድ ነበርጆሀ አካባቢውበጠላት ተይዞ ስለነበር ሰው አልነበረውምጆሀ ይሄ ቤት የእሸቴ ቤት መስሏቸው ነው በከባድ መሳሪያ ያወደመትነሀ አቶ አሰፋ ቤቱ ከወደመ በኋላ በሌላ ቤት ተጠልለው ነው ያሉት ጡ","Free"
"የባልደራስ ፕሬዚደንት አቶ እስክንድር ነጋ ዞእሸቴንጀግና የምንለው የሞት ፍርሀትን ማሸነፍ በመቻሉ","Free"
"ነውጋ ሞትን መፍራት ከቀይ ሽብር በኋላ የመጣ ነው ጆሀ ታሪክ ሰሪ የነበረ ህዝብ ታሪከ ሲሰራበት","Free"
"ዞሌሎችም እንደኛ አይነት ቤተሰቦች አሉጋ እነርሱንም ጠይቋቸውዞ የአርበኛ እሸቴ ባለቤት","Free"
"የባልደራስ ለእውነተኛ ዴሞክራሲ ፓርቲ ረባልደራስነ ልኡክ ቡድን በሸዋ ሮቢት ከተማ የትግራይ ወራሪ","Free"
"ቡድን አባላትን ገድለው በክብር የተሰውት የአርበኛእሸቴ ሞገስ እና የልጃቸው ይታገሱ እሸቴ ቤተሰቦችን","Free"
"ዛሬ ማክሰኞ ጥር ነን ቀን ጀአነረነ አምት ጠይቀዋልነሀዞወንድሜ ሀገር ሀገር ሲል ትኩረት አልሰጠሁትም","Free"
"ነበርሀ አሁን ግን ኢትዮጵያዊነት ምን ማለት እንደሆነ","Free"
"በደንብ ገብቶኛልጋ ልጆቹን እንደ እሸቴ አድርጌ ነው የማሳድጋቸውነኔ እንዳውም መጫት ስለሆንኩ እንጂ","Free"
" የአቶ እሸቴ እህት ወፖሮ በላይነሽነሀ ለወንድማቸው ተገቢው የአርበኛ ክብር ስለተሰጠው ደስተኛ መሆናቸውንም ገልፀዋልጋ የቀብር ስነ ስርአቱ እጅግ ደማቅና ክቡር እንደነበርም አስታውሰዋልነሀ","Free"
"በአንድ ገመዜ ብናጣቸውም ህዝቡ ከእኛ ጋር ሌሎችም እንደ እኛ አይነት ቤተሰቦች አሉነሀ እነርሱንም","Free"
"ጠይቋቸውዞ ብለዋልነሀ","Free"
"ከተሰዋ በኋላ አስከሬኑ ጥግ ሆኖ እሸቴ ደወለልኝነኔ ላውጣላ ስለው ላልጄን ትቼ አላደርገውም አለነፎ","Free"
"ቆይቼ ስደውል ስልኩን ጁንታው አነሳውና ላየት ነህላ አለኝጋ እነርሱ እንደሆኑ ስለገባኝ ላምን አገባህላ","Free"
"አልኩትነሀ ቆይቼ በሌላ ስልከ ደውየ ሳናግረው እሸቴን ለምርመራ እንደያዙት ነገረኝነኔ እኔም እንደተሰዋ","Free"
"ባልደራስ ለእውነተኛ ዲሞክራሲ ፓርቲ ከእስር ከተፈቱ","Free"
"አመራሮች ጋር የስራ አስፈፃሚ ኮሚቴ ስብሰባ አካሄደ","Free"
"የባልደራስ ለእውነተኛ ዲሞክራሲ ፓርቲ የፓርቲው","Free"
"ፕረዛዳንት አቶ እስክንድር ነጋ እና የፓርቲው የድርጅት","Free"
"ጉዳይ ሀላፊ አቶ ስንታየሁ ቸኮል በተገኙበት በእስር","Free"
"ላይ ከነበሩ አመራሮች ጋር ዛሬ ጥር አገፖጀአገጄ አየምየ","Free"
"የስራ አስፈፃሚ ኮሚቴ ስብሰባ አካሄዶ ነበርበ","Free"
"በእነ አቶ እስክንድር ነጋ መዝገብ ስር ተከሰው","Free"
"የነበሩ የፓርቲው አመራሮችረአቶ እስክንድር ነጋቲ አቶ ስንታየሁ ቸኮልተ ወፖሮ ቀለብ ስዬምተ ወፖሪት አስካለ","Free"
"ደምሌን በተገኙበት በሚቀጥለው ሳምንት በእስራቱ ዙሪያ እና በሀገራችን ወቅታዊ ጉዳዮች ላይ ጋዜጣዊ መግለጫ እንደሚሰጡ የፓርቲው ስራ አስፈፃሚ ኮሚቴ ወሳኔ አስተላልፏል","Free"
"ጋዜጣዊ መግለጫ የሚሰጥበትን ቀን ለመገናኛብዙሀን በቅርቡ እናሳውቃለንስ","Free"
"የባልደራስ ለእውነተኛ ዲሞክራሲ ፓርቲ የስራ አስፈፃሚ ኮሚቴ ጆሀ","Free"
"ቡድኑ የአማራ ፋኖ እየከፈለው ላለው መስዋእትነት ከፍተኛ ምስጋና አቅርቧልጋ አርበኛ መሳፍንት ተስፉም","Free"
"ዘእስከ ዛሬ ብቻችንን ታግለን ውጤት አስመዝግበናልጋ ከአሁን በኋላ የእናንተን እገዛ ካገኘን","Free"
"ይበልጥ ስኬታማ እንሆናለንዞ ብለዋልጋ ","Free"
"ልኡክቡድኑንም አመስግነዋልጋ አቶ እስክንድር ነጋ በበኩላቸው ዞአሁን የፖለቲካ ከጀንዳ አይደለም የያዝነውየ ኢትዮጵያን የማስቀጠል ጉዳይ ነውጋ በታሪክም ኢትዮጵያ ችግር ውስጥ በገባች ጊዜ ሁሉ በጀግንነታቸውን ሀገር የሚታደጉት","Free"
"ፋኖ አንድም ሀገር ብሄራዊ ችግር ሲገጥማትታ ሌላም እንደ ህወሀት አይነት ጭራቅ መንግስታት","Offensive"
"ሲፈጠሩ የሚፈጠር መሆኑን የገለኡት አቶ እስክንድር የእነ መሳፍንት ነፍጥ ማንሳትም ከወያኔ መብቀል ጋር","Offensive"
"የተያያዘ መሆኑን ኦብራርተዋልርሀ","Free"
"አስከንድርን ከቱባ ወንጀለኖችና ከዘር  ይባባልልኛል ጨፍጫፊዎች ጋር ሲፈቱት እንኳን ደስ አለህ","Offensive"
"ህኔ እዚህ አገር ስለ ፍትህ ከማስረዳት ግመል ይዞ በመርፌ ቀዳዳ ማለፍ ይቀላል ህ ","Offensive"
"አንጭጭ ሀ ፍትህን የሰዋች ሀገርጅ ህ ግ የሌ ላት ሀገ ርጀ","Offensive"
"ህወሀት በቆቦ ንኡሀንን ስትጨፈጭፍ ለምን ዘምቷን መረጡ እስክንድር ግን ዛሬም በልባችን ነው","Free"
"ሳናውቀው ከአማራ ደሪጋ ህዝብ ጋር ቅራኔና ቂም ነበረው ወይስ ድርጅቱ ሙሉ ለሙሉ በህወሀት ቁጥጥር ስር ሆነ ","Offensive"
"የአማራ ህዝብ ችግር ስሜታዊ በመሆን አይፈታም  እንዲያውም የበለጠ ያባብሰዋል ","Free"
" ስለዚህ በየማህበራዊ ሚዲያው መንጫጫት እና የጠላትን ፕሮፖጋንዳ ማራገቡን ትተን ሁላችንም ነገ ዛሬ ሳንል ወደ ስራ መግባት  መደራጀት እና ማዳራጀት አለብን  ","Offensive"
"ህዝባችን ከደረሰበት መከራና የህልውና  አደጋ መሰስ አድረሰገን የምናወጣው ይሄን ስናደርግ ብቻ ነው  ሁልጊዜ መርሳት የሌለብን ነገር አለ ","Free"
" እሱም ችግራችን የምንፈታው እኛው ብቻ እንደሆንን ማመንና በወኔ  በእልህ እና በቁጭት በቀጥታ ወደ ተግባር መግባት ነው  ","Offensive"
"ሁሉን ነገር  የተሰማነን ነገር እና የምናስበውን ሁሉ በማህበራዊ ሚዲያ የምንዘረግፍ ከሆነ ግን ለጠላት ሀይል እየሆንን መሆኑን መረዳት አለብን ","Offensive"
"በመጨረሻም በህዝባችን የህልውና ትግል ላይ አሉታዊ ተፅእኖ ከሚያሳድሩ ነገሮች ራሳችን ማራቅ እንዳለብን ነው ","Offensive"
" የምናምን ህብረት የምትሉ ለማህበረሰባችሁ የሚጠቅም ነገር ማድረግ የማትችሉ ከሆነ ያቋቋማችሁትን ድርጅት ለጊዜው በማለዘብ ለህዝባችን ውለታ ዋሉለት ","Offensive"
"ማስጠንቀቂያ በ አትታጠፉ  ረጋ ባላችሁ አስቡ  ጊዜያዊ እና ዘላቂ ጥቅም ስለሚባሉ ነገሮች አስቡ  ከማን ጋር ምን መስራት እንዳለብን እና የትኛውን ብቻችን መከውን እንዳለብን ለይተን እንወቅ ","Offensive"
"የበሻሻው ጩሉሌ ዛሬ ባህር ዳር ገብቷል ","Offensive"
"የአማራ ብልፅግና አመራር ሆይ ከአብይና ከአማራ ህዝብ አንዱን ምረጡ ","Offensive"
"አብይ አንድም የአሜሪካን ትእዛዝ ለማስፈፀም በተለይም በወልቃይትና ራያ ጉዳዮች ላይ ከብአዴን ጋር ለመነጋገር ወይም ስለአማራው ቀንደኛ ጠላት አቦይ ስብሀት መፈታት ህዝቡን ምን ብለው ማታለል እንዳለባቸው ","Offensive"
" አሜሪካ ለአብይ የሰጠችው ቀጭን ትዛዝ እስከምን ድረስ እንደሆነ ለአማራ ግኡዝ ብልፅግና አባላት ለማስረዳት ሳይሆን አልቀረም ","Offensive"
"አማራ ንቃ በእንደዚህ አይነት ሁኔታዎች በእውነተኛ መሪዎቻችን ላይ ጉዳት እንዳይደርስ ","Offensive"
"እና አናቶችን በማዝመት ከልጆቻቸው ሞት ፖለቲካዊ ትርፍ ለማጋበስ አስበው ካሜራ ይዘው የሚዞሩ አሸባሪዎች ለፍርድ ይቀረቡጀ ","Offensive"
"እጥፍ በመሆንና ከሀገሪቱ መከላከያ ሰራዊት ጋር በመቀናጀት ወራሪውን ከፊት ሆነን በመከላከል ከገጠሮቻችንና ከከተሞቻችን ወደ ኋላ አንዲያፈገፍግ በማድረግ ብቻ ሳይሆን ህወሀት ሀይል ከፊት ሲመናመን በረድፍ በረድፍ አድርጎ ተራ በተራ ከኋላ ወደ ውጊያው ግንባር የሚያግተለትለውን ተተኪ የሰው ሀይሉን ","Offensive"
"ሌላው ማወቅ የሚገባን ነገር ቢኖር ምንም አይነት የውጊያ እውቀቱም ሆነ ልምድ የሌለው መሆኑን መረዳትና አላቸው እንኳ ቢባል","Offensive"
"እጅግ ጥቂት በመሆናቸው የህወሀት ታጣቂዎችን ብዛት ብቻ በመመልከት ","Offensive"
"ያለመደናገ ጥትሌላው የህወሀት ሰዎችና ጀሌዎቻቸው በሚነዙት የሀሰት ወሬና አሉባልታን ከቁብ ባለመቁጠር ","Offensive"
"ትግሉን ማሳጠር","Offensive"
"የተሰደደውን ህዝብ ","Offensive"
" የአባይ ግንባታንና የኦጋዴን ነዳጅ ምርቶና ወዘሺ አ ወደመሳሰሉት ሜጋ ፕሮጀክቶቻችን ","Offensive"
"የአላማጣ ህዝብ በወያኔ እየተሰቃየ ነው","Offensive"
"አፋሮች ለመላው ኢትዮጵያ ጥሪ አቀረቡ ","Free"
"መንግስት ከፍተኛ ወቀሳ ደረሰበት  ","Free"
" ፋኖ ከአፋር ህዝብ ጎን ለመፋልም አፋር እንሄዳለን አለ  ","Offensive"
" ፋኖ ላይ ውሳኔ ተላለፈ ","Offensive"
"ለመስማት እና ለማየት እባክዎ  ይጎብኙ","Free"
"ለትግራይ ህዝብ ህውሀት እንደማትጠቅመው መንገር አለብን እዚህ ደረጃበደል ላይ የደረሰው በህውሀት እንደሆነ ልንነግረው ይገባል ","Offensive"
"በአፋር አዳዲስ ድሎች እና የቀጠለው የህወሀት ጥቃት ","Offensive"
"አሜሪካ ድጋፏን ኦሮምያ ላይ አድርጋለች በጦርነቱ የተጎዱት ክልሎች አሁንም ጦርነት ላይ ናቸው ","Offensive"
"ለሳኡዲ እስረኞች መልካም ዜና  ","Free"
"በህወሀት መካከል ስምምነት ይኖራል የመባል ወሬ መንግስት የውሸት ነው አለ ","Free"
"የኤርትራ የስለላ ድርጅት በህወሀት ላይ አዲስ ዘገባ አወጣ  ","Free"
"ወይብላ ማርያም መንግስት ምርመራው እየተካሄደ ነው ብሏል  ","Free"
"ዝርዝር መረጃ ስለ አላማጣው ስብሰባ","Free"
"ጁንታው የራያን ህዝብ ዛሬ ሰብስቦ የመጨረሻ ሳአት ነው ምንነግራቸው ብለው ከባድ ትእዛዝ አስተላልፈዋል ","Offensive"
" አላማጣ ዋጃ ጥሙጋ እና ሙሉ ራያ ውስጥ ያላችሁ የመንግስት ሰራተኛ ለወንድም ለሴትም ፆታ አይለይም  ከነገ ቀን  ጀምሮ ወደ ግንባር ትዘምታላችሁ አልዘመትም ያለ ከአሁኑ ለቆ እንዲወጣ እሚል ቀጭ ትእዛዝ አስተላልፈዋል ","Offensive"
" ከአንድ ቤት አንድ ወጣት እሚል ትእዛዝ ነው የሄ ማለት ከአንድ ቀበሌ  ወጣት ወደ ዘመቻ እንዲቀላቀል ትእዛዝ አውጥተዋል ከዛሬ ቀን ጀምሮ አፈሳ ያረጋሉ ተብሎ ወጣት ተደናግጧል ","Offensive"
"  ከአንድ ቤት አምስት ሺ ገንዘብ እንዲያመጡ ገንዘብ የለለው ሰው ደሞ ሁለት ኩንታል እህል እንዲያመጣ ታዟል ሌላው  ከሁለት ሰው በላይ ሁነህ መንቀሳቀስ እንደማይቻል ትልቅ ቤት በግንብ የተሰራ ቤት ኖዋሪዎቹ ለትንሽ ግዜ ለቀው እንዲወጡ ታዟል  ብዙ ሀይልም ወደ የዋጃትን አሰጠግተዋል ","Offensive"
"  መንግስት በማንኛውም የህዝብን ህልውና አደጋ ላይ በሚጥል ጉዳይ ላይ  ከህዝብ ተደብቆ ስምምነት እንዳያደርግ  በተለይም ከህወሀት ጋር ድርድር እንዳያደርግ የሚጠይቁ ትዊቶችን አዘጋጅተናል  ","Offensive"
"  በ የተዘጋጀ ኢሜይል  ሰሞኑን ከወይብላ ቅድስት ማርያም ቤተክርስቲያን ጋር ተያይዞ የኦሮቶዶክስ ክርስትና እምነት ተከታዮች ላይ የተፈፀሙት ግድያዎችና የመብት ጥሰቶች ፍትህ እንዲያገኙ  ወንጀሉን   የፈፀሙት አካላት ለህግ እንዲቀርቡ  የኦሮሚያ ክልላዊ መንግስት የተፈፀመውን ከባድ የመብት ጥሰት አውግዞ ክልሉ ውስጥ ለሚኖሩ ሰላማዊ ዜጎች ከለላና ጥበቃ እንዲሰጥ የሚጠይቅ ኢሜይል በ ተዘጋጅቷል","Free"
"እንደተለመደው ትዊት በማድረግና በ የተዘጋጀውን ኢሜይል በመላክ ጉዳዩቹ ትኩረት እንዲያገኙ እንድትተባበሩ እንጠይቃለን ","Free"
"ፈጣሪ ሀገራችን ኢትዮጵያን ይባርክ ","Free"
"የኢትዮጵያ ምክትል ጠቅላይ ሚኒስትር ደመቀ መኮንን በኮሮና ቫይረስ መያዛቸው ተረጋገጠ  ","Offensive"
"ህወሀት አባላ አፋርን ሙሉ በሙሉ ተቆጣጥሯል ","Free"
"አፋሮች በጦርነቱ አልቋል  ","Free"
"ራያ ዋጃ ያልተጠበቀው ሆኗል ","Free"
" ኬኒያ ከኢትዮጲያ ልትገዛ ነው   ","Offensive"
" አሁንም የሰንደቅአላማ አጀንዳ እንደወጠረንን ነን መከፋፈል እንደጠፈነገን ነን እርግፍ አድርገን የረሳነው ግን ህወሀት","Offensive"
"ኦነግ ሸኔ በቀኝ ድህነት በግራ ተብትበው እንዳሰሩን ነው  እንቃ እንተባበር እንደጋገፍ በጋራ ለኢትዮጵያ እንትጋ","Offensive"
"ሸኔን በሪፖርት  ፋኖን በጥይት አይሆንም ","Offensive"
"አራዳው ብልፅግና በስሙ ሲጠሩት ‹‹አቤት›› ባይ አመራር የሌለው የሽብር ድርጅት እውን አድርጎ የንፁሀንን ሀብትና ህይወት ሲያስወድም ከረመ  ","Offensive"
"ከሰሞኑም ከጌጃው ብልፅግና ጋር ባደረገው ስብሰባ ፋኖን ከመምታት በፊት ሸኔን ደምስሻለሁ ማለት እንደሚቀድም ተረድቶ በታጣቂው ፈንታ ተጠቂው ላይ በወሰደው እርምጃ የቀማቸውን መሳሪያዎች ሲያሳየን ነበር  ","Offensive"
"ከእነዚህም መሳሪያዎች መሀከል አረንጓዴ ቢጫ ቀይ ማንገቻ ያለው ቁመህ ጠብቀኝ ጠመንጃ ቀላቅሎ ‹‹ከሸኔ ያስፈታኋቸው ናቸው›› እያለ ሲነግረን ነበር  ","Offensive"
"ከዚህ ባለፈም ‹‹ የሸኔ ታጣቂዎች እጅ ሰጡ›› በሚል ዜና  መንገደኞችን የያዘ ፎቶ ለጥፎ ‹‹ሰባቱ እግር የሰጡ ናቸው ወይ›› የሚል ትችት ሲያስተናግድ ነበር ","Offensive"
"ያ ሁሉ ልፋት ታዲያ  አሸባሪው ሀይል አፋር ገብቶ ቅልጥ ያለ ትግል እያደረገ ባለበት ሁኔታ ‹‹ድል አድርጌያለሁ›› ብሎ የተመለሰው አካል  ፋኖን መትቶ አማራን ለዳግም ጥቃትና ለባርነት ከመዳረግ የሚመነጭ ነው  ","Offensive"
"ኦነግ በሪፖርት ሲደመሰስ የከረመው የፋኖን ደም በጥይት ለማፍሰስ ነው ","Offensive"
" ኢመደበኛ ሀይል የተባሉት አሁንም ድረስ ህያው ሆነው የንፁሀንን ህይወት በመቅጠፍ ላይ የሚገኙት አሸባሪዎች ሳይሆኑ ‹‹የመጣብህ ጠላት በመደበኛው የፀጥታ ሀይል የሚመከት ስላልሆነ ተነስና ለህልውናህ ታገል›› በሚል የክተት ጥሪ በእራሱ ስንቅና ትጥቅ ሲዋጋ የከረመው ፋኖ ነው ","Offensive"
"የሆነው ሆኖ ግን ፋኖ ላይ ጣትን ከመቀሰር በፊት ድል በሚል ስም መሀል መንገድ ላይ የተቋረጠውን ትግል መቋጨት ያስፈልጋል  ","Offensive"
"ለህልውናው የሚታገለውን ፋኖ ለማጥቃት ከማሰብ አስቀድሞም የንፁሀንን ህልውና ሲነጥቅ ከርሞ በሪፖርት የተደመሰሰው አሻባሪ ላይ ተጨባጭ እርምጃ መውሰድ ግድ ይላል ","Offensive"
"ያን ጊዜ ኢመደበኛውም ሆነ መደበኛው ፋኖ እርምጃ ሳትወስዱበት በፊት ነፍጡን ጥሎ ማረሻውን እና ደብተሩን ያነሳል ","Offensive"
"ከዚህ ውጭ ግን መላው የአማራ ህዝብ በወራሪ ጠላት እና በቆማሪ መንግስት መሀከል ወድቆ እየዋተተ ባለበት ሁኔታ  ","Offensive"
"ፋኖ ላይ የሚወሰድ እርምጃ  የስልጣን ስጋት ከመሆን አልፎ ለባለስልጣናት ምቾት የሚፈጥር ስላልሆነ የክልሉ መንግስት ችግሩን በውይይት እንዲፈታው እንመክራለን ","Offensive"
"ሰውየው  አሸባሪው ሀይል በአማራና አፋር ክልሎች ላይ ከፈፀመው ውድመት ላይ ከአሜሪካ መንግስት የ  ቢሊዮን ብር ፕሮጀክት ለክልሉ ሸምቶ በኢትዮጵያ ፍርሰት ላይ አዲስ አገረ መንግስት እየገነባ ነው ","Offensive"
"እኔ እምለው ግን ","Free"
"እንዴት አንድ እንኳን ታግሎ የሚያታግል ፓርቲ ጠፋ","Free"
"አንድ እንኳን የቁርጥ ቀን ልጅ እንዴት አገሩ ላይ ጠፋ","Free"
"አማካሪውም  ሚኒስትሩም  ተቃዋሚውም  ሙህሩም  ሼህና ቄሶቹም እኔ ምን አገባኝ ብለው በአንድ ሰው ውሳኔ ኢትዮጵያ ትፈርስ ዘንድ እንዴት ወሰኑባት","Offensive"
"ስለዚህ አሩሲ አሰላ ኦሮሚያ ኢትዮጵያ የጥምቀት ፎቶ ሌላ ጊዜ እንመለስበታለን","Free"
" አዳነች አቢቤ  አቢይ አህመድ  አማሮቹና ሙጂብ አሚኖ  ","Offensive"
"ለማንኛውም ጎንደሬዎቹ የዛሬውን ሴራ አክሽፈውታል ","Offensive"
"ከየትኛውም አቅጣጫ ትንኮሳዎች ከመጡ የመከላከያ ሰራዊቱ ዝግጁ መሆኑን መንግስት አስታወቀ","Free"
"ከየትኛውም አቅጣጫ ትንኮሳዎች ከመጡ የመከላከያ ሰራዊቱ ሙሉ አቅም እንዳለውና በተሟላ ሁኔታ ዝግጁ መሆኑን መንግስት አስታወቀ ","Free"
"የኢፌዴሪ መንግስት ኮሙኒኬሽን አገልግሎት ሚኒስትር ዶክተር ለገሰ ቱሉ በወቅታዊ አገራዊ ጉዳይ ላይ ትናንት በሰጡት መግለጫ   የመከላከያ ሰራዊቱ በተሟላ ቁመና ላይ ብቻ ሳይሆን  ህብረ ብሄራዊ ዘመቻ ከመካሄዱ በፊት ከነበረው ሁለት እጥፍ አቅም መፍጠሩን ገልፀዋል ","Free"
"ሰራዊቱ በአገር ውስጥ ከሚፈጠር ችግር ባሻገር ከሌሎች የሚመጡ የትኛውንም ችግር ለመቀልበስ በሚያስችለው የዝግጁነት ደረጃ ላይ ይገኛል ከዚህ አንፃር የሚያሰጋ የፀጥታ ስጋት እንደሌለም ጠቅሰዋል ","Free"
"የሰሜኑ ጦርነት ከተቀለበሰ በኋላ የመከላከያ ሰራዊቱ አቅሙ እየጎለበት መምጣቱን የገለፁት ሚኒስትሩ  በአሁኑ ወቅት በኦሮሚያ የፀጥታ ችግር ባለባቸው የተለያዩ አካባቢዎች የመከላከያ ሰራዊቱ ከኦሮሚያ ልዩ ሀይል ጋር ተቀናጅቶ እየሰራ እንደሚገኝጠቅሰዋል  ","Free"
"በመሆኑም አሁን ባለው ነባራዊ ሁኔታ በኦሮሚያ ውስጥ የሚያሰጋ የፀጥታ ስጋት እንደሌለ ነው የተናገሩት ","Free"
